ID,Work Item Type,Title,Test Step,Step Action,Step Expected,Area Path,Assigned To,State
,Test Case,Verify whether the cookies consent popup is getting displayed within the login page.,,,,Creatio CRM,Bharath Tech Academy <bharattechacademy3@outlook.com>,Design
,,,1,"Launch the Browser

Browser = Chrome",Chrome Browser should be launched successfully,,,
,,,2,"Enter URL and Launch the Application

https://accounts.creatio.com/login/alm",Application should be launched successfully. ,,,
,,,3,Verify whether the cookies consent popup is getting displayed within the login page. ,Cookies consent pop-up should be displayed successfully. ,,,
,Test Case,"Verify whether the cookies consent popup header is ""This website uses cookies""",,,,Creatio CRM,Bharath Tech Academy <bharattechacademy3@outlook.com>,Design
,,,1,"Launch the Browser

Browser = Chrome",Chrome Browser should be launched successfully,,,
,,,2,"Enter URL and Launch the Application

https://accounts.creatio.com/login/alm",Application should be launched successfully. ,,,
,,,3,Verify whether the cookies consent popup is getting displayed within the login page. ,Cookies consent pop-up should be displayed successfully. ,,,
,,,4,"Verify whether the cookies consent popup header is ""This website uses cookies""","Cookies consent pop-up header should be displayed as  ""This website uses cookies""",,,
,Test Case,Verify cookies pop-up content message.,,,,Creatio CRM,Bharath Tech Academy <bharattechacademy3@outlook.com>,Design
,,,1,"Launch the Browser

Browser = Chrome",Chrome Browser should be launched successfully,,,
,,,2,"Enter URL and Launch the Application

https://accounts.creatio.com/login/alm",Application should be launched successfully.,,,
,,,3,Verify whether the cookies consent popup is getting displayed within the login page.,Cookies consent pop-up should be displayed successfully.,,,
,,,4,Verify cookies pop-up content message.,"Cookies pop-up content message should be displayed as ""We may use cookies and similar technologies to collect information about the ways you interact with and use the website, to support and enhance features and functionality, to monitor performance, to personalize content and experiences, for marketing and analytics, and for other lawful purposes. We also may share information about your use of our site with our social media, advertising and analytics partners who may combine it with other information that you’ve provided to them or that they’ve collected from your use of their services. Please, see more details on the ""About"" tab""",,,
,Test Case,Verify cookies pop-up logos.,,,,Creatio CRM,Bharath Tech Academy <bharattechacademy3@outlook.com>,Design
,,,1,"Launch the Browser

Browser = Chrome",Chrome Browser should be launched successfully,,,
,,,2,"Enter URL and Launch the Application

https://accounts.creatio.com/login/alm",Application should be launched successfully.,,,
,,,3,Verify whether the cookies consent popup is getting displayed within the login page.,Cookies consent pop-up should be displayed successfully.,,,
,,,4,Verify cookies pop-up logos.,"Cookies popup should display below Logos

1. Creatio Logo
2.Cookiebot Logo",,,
